Saga,佐賀県,Saga,佐賀市,840,244
Kochi,高知県,Kochi,高知市,745,711
Ishikawa,石川県,Kanazawa,金沢市,1159,419
Miyagi,宮城県,Sendai,仙台市,2328,728
Nagasaki,長崎県,Nagasaki,長崎市,1396,411
Hiroshima,広島県,Hiroshima,広島市,2840,848
Osaka,大阪府,Osaka,大阪市,8860,190
Saitama,埼玉県,Saitama,さいたま市,7222,380
Kyoto,京都府,Kyoto,京都市,2620,461
Tokyo,東京都,Shinjuku,新宿区,13286,219
Aichi,愛知県,Nagoya,名古屋市,7435,517
Fukui,福井県,Fukui,福井市,794,419
Ibaragi,茨城県,Mito,水戸市,2933,610
Kagoshima,鹿児島県,Kagoshima,鹿児島市,1680,919
Fukuoka,福岡県,Fukuoka,福岡市,5091,498
Okayama,岡山県,Okayama,岡山市,1930,711
Hyogo,兵庫県,Kobe,神戸市,5557,840
Shimane,島根県,Matsue,松江市,702,671
Nara,奈良県,Nara,奈良市,1384,369
Nagano,長野県,Nagano,長野市,2120,1356
Yamagata,山形県,Yamagata,山形市,1141,932
Aomori,青森県,Aomori,青森市,1336,964
Yamaguchi,山口県,Yamaguchi,山口市,1420,611
Tochigi,栃木県,Utsunomiya,宇都宮市,1987,641
Kumamoto,熊本県,Kumamoto,熊本市,1801,740
Gumma,群馬県,Maebashi,前橋市,1984,636
Shizuoka,静岡県,Shizuoka,静岡市,3716,778
Fukushima,福島県,Fukushima,福島市,1947,1378
Okinawa,沖縄県,Naha,那覇市,1417,228
Yamanashi,山梨県,Kofu,甲府市,846,447
Toyama,富山県,Toyama,富山市,1076,425
Iwate,岩手県,Morioka,盛岡市,1294,1527
Hokkaido,北海道,Sapporo,札幌市,5430,7842
Ehime,愛媛県,Matsuyama,松山市,1405,568
Miyazaki,宮崎県,Miyazaki,宮崎市,1120,774
Wakayama,和歌山県,Wakayama,和歌山市,979,473
Gifu,岐阜県,Gifu,岐阜市,2053,1062
Chiba,千葉県,Chiba,千葉市,6193,516
Akita,秋田県,Akita,秋田市,1050,1164
Tottori,鳥取県,Tottori,鳥取市,578,351
Kanagawa,神奈川県,Yokohama,横浜市,9082,242
Oita,大分県,Oita,大分市,1179,634
Shiga,滋賀県,Otsu,大津市,1417,402
Mie,三重県,Tsu,津市,1829,578
Niigata,新潟県,Niigata,新潟市,2331,1258
Kagawa,香川県,Takamatsu,高松市,985,188
Tokushima,徳島県,Tokushima,徳島市,770,415
%%%%%
